F3 Quality,FC6 Quality,P7 Quality,T8 Quality,F7 Quality,F8 Quality,T7 Quality,P8 Quality,AF4 Quality,F4 Quality,AF3 Quality,O2 Quality,O1 Quality,FC5 Quality,X Quality,Y Quality,Z Quality,Unknown Quality
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,752
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,8
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,664
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,3400
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,736
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,24
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,648
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,3400
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,760
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,24
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,664
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,3416
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,736
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,16
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,640
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,3408
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,744
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,24
1120,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,656
936,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,48,0,0,0,656
936,656,1216,72,1120,744,6896,1016,0,3400,736,768,7712,80,0,0,0,656
